StimType	onset
4.0	0.00889922970137
3.0	21.0324549311
4.0	42.0226175423
6.0	63.0294934515
2.0	84.0196726646
3.0	105.02653499
1.0	126.016719939
3.0	147.023591622
5.0	168.030475077
1.0	189.020652781
4.0	210.027523257
1.0	231.017700055
3.0	252.024578681
2.0	273.031447346
6.0	294.021612372
5.0	315.028485564
5.0	336.018668098
2.0	357.025546724
6.0	378.032402711
4.0	399.022590677
2.0	420.029456927
6.0	441.019634631
5.0	462.026511446
1.0	483.016670435
