StimType	onset
4.0	0.0117764923535
3.0	21.0186551182
4.0	42.0255228773
6.0	63.0324090494
2.0	84.0225595865
3.0	105.029435194
1.0	126.019605351
3.0	147.026489109
5.0	168.016630892
1.0	189.023528836
4.0	210.030397501
1.0	231.020575507
3.0	252.027434814
2.0	273.017618857
6.0	294.024486314
5.0	315.031362827
5.0	336.021491027
2.0	357.028426703
6.0	378.018566072
4.0	399.025457677
2.0	420.032308834
6.0	441.022472049
5.0	462.029352184
1.0	483.019555244
