Stim	StimType	onset
+	6	0.00571075662174
#####	4	2.52717235292
#####	4	5.04867530308
grey	5	7.57018157363
glide	1	10.09166762
#####	4	12.6131618164
#####	4	15.1346523906
darn	2	17.6561311926
laze	5	20.177621163
slash	2	22.6991364892
#####	4	25.2206451745
+	6	27.7421155246
lime	5	30.2636067025
slouch	5	32.7850999933
brag	3	35.3065950953
stray	1	37.8280799343
#####	4	40.3495726215
jog	1	42.8710698364
dart	1	45.3925395827
skate	1	47.9140530978
smirk	3	50.4355442756
#####	4	52.9570592999
hike	1	55.4785444408
#####	4	58.0000434668
march	1	60.5215192502
#####	4	63.0430013725
fold	2	65.5645046245
chomp	3	68.0860072728
chop	2	70.6074903007
#####	4	73.1289965713
drowse	5	75.6504808065
blink	3	78.1719571936
#####	4	80.6934586345
+	6	83.2149564532
peel	2	85.7364476311
limp	1	88.2579590331
stomp	1	90.7794233461
drum	2	93.3009015443
#####	4	95.8224044945
flit	1	98.3438995965
heal	2	100.865408886
grope	2	103.386901271
skim	2	105.908380676
roam	1	108.429860082
soothe	5	110.951371484
+	6	113.47286719
flow	5	115.994390364
fade	5	118.515852262
#####	4	121.037330762
tan	5	123.558837637
click	2	126.080327607
#####	4	128.601822407
lick	3	131.123312378
#####	4	133.64479782
bribe	3	136.166304393
crane	5	138.687795269
#####	4	141.209291578
tramp	1	143.730770682
stride	1	146.252272425
lift	2	148.773789864
disc	5	151.295245423
#####	4	153.816737808
wood	5	156.338196688
mauve	5	158.859744011
bronze	5	161.381232472
kick	1	163.902717914
stroke	2	166.424237467
#####	4	168.945725626
+	6	171.467112665
growl	3	173.988723074
#####	4	176.51021395
#####	4	179.031674037
pen	5	181.553157367
+	6	184.074659412
flax	5	186.59602683
crook	5	189.117646899
bright	5	191.639143812
#####	4	194.160647064
#####	4	196.682122244
groan	3	199.203610705
slurp	3	201.724964842
stab	2	204.246603928
frisk	2	206.768087861
+	6	209.289581454
+	6	211.811074141
square	5	214.332577091
boo	3	216.853974091
hum	3	219.375561862
plum	5	221.89706119
edge	5	224.418530332
+	6	226.940025434
wedge	5	229.461532912
+	6	231.982933534
fence	5	234.504504099
scratch	2	237.026037537
turf	5	239.547491888
#####	4	242.068988802
#####	4	244.590504128
#####	4	247.11191954
#####	4	249.633473806
#####	4	252.154958343
#####	4	254.67644771
dim	5	257.197935567
tempt	5	259.719425538
conk	5	262.240904038
#####	4	264.762424193
arc	5	267.283913862
#####	4	269.805407757
spit	3	272.326907688
#####	4	274.848391924
strain	5	277.369851105
grasp	2	279.891386957
sneer	3	282.41286425
hide	5	284.934360257
#####	4	287.455860793
sneak	1	289.977339293
#####	4	292.498810548
kneel	1	295.020335534
#####	4	297.541890704
grind	5	300.063322115
+	6	302.584810577
croak	3	305.106295114
ash	5	307.627781462
scrape	2	310.149287431
peak	5	312.670778005
#####	4	315.192276125
faze	5	317.713768209
slip	1	320.235252444
gold	5	322.756751168
#####	4	325.27823812
chalk	5	327.799731109
bolt	5	330.321227117
#####	4	332.842730671
coal	5	335.364214302
#####	4	337.885694312
#####	4	340.407201488
shout	3	342.928686025
#####	4	345.450195616
#####	4	347.971688001
ship	5	350.493178877
gape	3	353.014664924
+	6	355.536147348
pinch	2	358.05764245
dwell	5	360.579152644
spot	5	363.100645633
#####	4	365.622132585
storm	5	368.143609576
#####	4	370.665123997
rust	5	373.186602799
cane	5	375.708093071
dot	5	378.229599945
coach	5	380.751075427
+	6	383.272550003
skip	1	385.79406382
web	5	388.315570996
trot	1	390.837058551
skulk	1	393.358555464
#####	4	395.880033059
#####	4	398.401505522
net	5	400.923006963
tear	2	403.444515648
poke	2	405.966010448
#####	4	408.487512795
+	6	411.008982239
blight	5	413.53046738
owe	5	416.051970934
+	6	418.573471469
blush	5	421.09496144
#####	4	423.616461673
#####	4	426.137940173
roof	5	428.659432559
+	6	431.180922529
ball	5	433.702417329
ink	5	436.223906092
shoo	2	438.745412665
stamp	1	441.266887241
scream	3	443.78838023
creep	1	446.309835789
lisp	3	448.83137798
#####	4	451.352875497
grid	5	453.874366675
+	6	456.395854834
bode	5	458.917352351
beige	5	461.438691999
#####	4	463.960335612
#####	4	466.48183494
+	6	469.003316157
carve	2	471.524815787
stroll	1	474.04631602
#####	4	476.567705172
trudge	1	479.089295056
crop	5	481.610783517
#####	4	484.132278619
#####	4	486.653765571
mount	1	489.175375679
pod	5	491.696624167
salt	5	494.218247858
#####	4	496.739733301
+	6	499.261243194
#####	4	501.78272109
