Stim	StimType	onset
steer	2	0.0107565311173
wail	3	2.53224469048
curl	5	5.0537388869
#####	4	7.57528862428
#####	4	10.0966973963
#####	4	12.6182006483
+	6	15.1397069189
#####	4	17.6612041338
corn	5	20.1826938024
rouge	5	22.7041732081
moan	3	25.2256607637
grass	5	27.7471694491
#####	4	30.2686612307
#####	4	32.7901641809
#####	4	35.3116493217
tread	1	37.8331347644
slur	3	40.3546193015
strut	1	42.8761162146
bide	5	45.3976264092
cone	5	47.9191127575
screen	5	50.4405994076
crow	5	52.9620815299
#####	4	55.483574217
#####	4	58.0050777709
#####	4	60.5265568747
mud	5	63.0480571082
mask	5	65.5695519083
#####	4	68.091096816
nut	5	70.6125240011
bloom	5	73.1340296679
tail	5	75.6555268829
rail	5	78.1770373794
whip	2	80.6985198035
knead	2	83.2200025295
#####	4	85.7414813314
swing	2	88.2629869983
jive	1	90.7844778743
stir	2	93.3059892764
bless	3	95.8274602301
haunt	5	98.348951408
snow	5	100.870440775
#####	4	103.391960629
stun	5	105.91343762
plod	1	108.434916723
clump	5	110.956423899
#####	4	113.477924435
#####	4	115.999445798
pale	5	118.520883548
+	6	121.042391629
#####	4	123.563879487
#####	4	126.085377306
file	2	128.606852485
+	6	131.128377471
+	6	133.64979711
knit	2	136.171350771
+	6	138.692844062
+	6	141.214334334
bore	5	143.735812231
grate	2	146.257317897
curve	5	148.778722142
sprout	5	151.300319874
brass	5	153.821783281
puce	5	156.343290759
#####	4	158.864775598
tube	5	161.38629032
irk	5	163.907636609
#####	4	166.429258791
clap	2	168.95074695
slot	5	171.472236921
+	6	173.993737758
#####	4	176.515265158
earn	5	179.036594543
pat	2	181.558215216
grip	2	184.079715449
calm	5	186.601193346
+	6	189.122696296
+	6	191.644187775
sneeze	3	194.165590812
tone	5	196.687168018
mope	5	199.208655272
#####	4	201.730154298
chill	5	204.251646683
#####	4	206.773144502
bone	5	209.294570178
cloud	5	211.816131084
#####	4	214.337613206
goof	5	216.859112534
lame	1	219.380610353
flee	1	221.902083419
+	6	224.423541695
scuff	1	226.945072416
score	5	229.466573555
roll	5	231.988076505
cash	5	234.509580965
bash	2	237.031047089
whine	3	239.552499328
+	6	242.07404665
snake	5	244.595527867
jade	5	247.117072775
leap	1	249.638522599
#####	4	252.16000623
blond	5	254.681479901
#####	4	257.202980738
#####	4	259.724483688
grunt	3	262.24598362
chrome	5	264.767466949
climb	1	267.288963561
#####	4	269.810446287
#####	4	272.331943803
#####	4	274.853434679
#####	4	277.374938233
#####	4	279.896439674
#####	4	282.417927834
solve	5	284.939398485
#####	4	287.460919245
wipe	2	289.98240016
suck	3	292.503887716
snort	3	295.025385232
#####	4	297.54687641
#####	4	300.068355514
#####	4	302.589852427
#####	4	305.111342699
#####	4	307.632875835
#####	4	310.1543486
#####	4	312.675828609
chew	3	315.197297752
hiss	3	317.718809757
dirt	5	320.240303652
gasp	3	322.761793623
flirt	5	325.283295969
scoop	2	327.804785638
+	6	330.326259912
wade	1	332.847768899
blow	3	335.369262492
kiss	3	337.890771479
+	6	340.412248772
+	6	342.933739949
slink	1	345.455207885
#####	4	347.976722305
#####	4	350.498226765
#####	4	353.019715226
#####	4	355.541220893
+	6	358.062689733
#####	4	360.584173365
#####	4	363.105687786
gnaw	3	365.627168399
#####	4	368.148711495
bite	3	370.670154679
#####	4	373.191666684
#####	4	375.713140958
#####	4	378.234633646
dunk	2	380.75613569
hop	1	383.277626264
yawn	3	385.799124385
+	6	388.320606507
roar	3	390.842087724
burp	3	393.363584033
crawl	1	395.885082456
+	6	398.406582991
crown	5	400.928063
+	6	403.449554178
#####	4	405.971041734
+	6	408.49251631
blame	3	411.014047936
#####	4	413.535543944
spare	5	416.057015803
#####	4	418.578517244
braid	2	421.100009931
star	5	423.62142474
cave	5	426.142990777
brown	5	428.664473805
#####	4	431.185970718
slide	1	433.707454652
#####	4	436.228967261
sprint	1	438.750373015
#####	4	441.271957163
prick	2	443.79343023
cope	5	446.314931369
#####	4	448.836424056
cube	5	451.357936364
#####	4	453.879262428
bird	5	456.40090091
hole	5	458.922385146
#####	4	461.443882663
+	6	463.965380481
#####	4	466.486878904
loop	5	469.008259
pink	5	471.52986307
bowl	5	474.051348211
#####	4	476.572846935
seize	2	479.094336604
#####	4	481.615831706
hate	5	484.137235045
#####	4	486.658812251
munch	3	489.180309164
sigh	3	491.701802153
#####	4	494.223321705
fail	5	496.744767001
dare	5	499.266320965
+	6	501.787773505
