Stim	StimType	onset
steer	2	0.0134481541845
wail	3	2.53493208761
curl	5	5.05641390806
#####	4	7.5779047841
#####	4	10.0994013953
#####	4	12.6208943844
+	6	15.1423888826
#####	4	17.6638857957
corn	5	20.1853730495
rouge	5	22.7068488329
moan	3	25.2283707998
grass	5	27.7498544314
#####	4	30.2713407796
#####	4	32.7928437298
#####	4	35.314414295
tread	1	37.8358061633
slur	3	40.3573172635
strut	1	42.8787954617
bide	5	45.4003041471
cone	5	47.9217935138
screen	5	50.4432816732
crow	5	52.9647680215
#####	4	55.4862788198
#####	4	58.0077702995
#####	4	60.5292617793
mud	5	63.0507734832
mask	5	65.5722326647
#####	4	68.0937383315
nut	5	70.6152144167
bloom	5	73.1367188762
tail	5	75.6582085448
rail	5	78.1797087783
whip	2	80.7012032766
knead	2	83.2226760414
#####	4	85.7441753693
swing	2	88.2656749991
jive	1	90.7871664789
stir	2	93.3086842198
bless	3	95.8301394772
haunt	5	98.3516315607
snow	5	100.873126663
#####	4	103.39463565
stun	5	105.916118376
plod	1	108.437634608
clump	5	110.959115522
#####	4	113.480589495
#####	4	116.002089426
pale	5	118.523584528
+	6	121.04506816
#####	4	123.566563564
#####	4	126.08805776
file	2	128.609537166
+	6	131.131005403
+	6	133.652561177
knit	2	136.174045714
+	6	138.695521196
+	6	141.217010261
bore	5	143.738501439
grate	2	146.259922889
curve	5	148.781493756
sprout	5	151.302989461
brass	5	153.824482149
puce	5	156.345963969
#####	4	158.867451525
tube	5	161.388922177
irk	5	163.910457425
#####	4	166.431936529
clap	2	168.953441894
slot	5	171.474925525
+	6	173.996421533
#####	4	176.517783518
earn	5	179.039402681
pat	2	181.5609005
grip	2	184.082405261
calm	5	186.603880139
+	6	189.125374034
+	6	191.64675413
sneeze	3	194.168360313
tone	5	196.689848775
mope	5	199.211346291
#####	4	201.732837168
chill	5	204.254325327
#####	4	206.775742551
bone	5	209.297314927
cloud	5	211.818812142
#####	4	214.340297283
goof	5	216.861801742
lame	1	219.383290505
flee	1	221.904726746
+	6	224.426265919
scuff	1	226.947765247
score	5	229.469250387
roll	5	231.990747602
cash	5	234.512235762
bash	2	237.033681662
whine	3	239.555228682
+	6	242.07671654
snake	5	244.598233677
jade	5	247.119704027
leap	1	249.641204864
#####	4	252.162644123
blond	5	254.684182692
#####	4	257.205666626
#####	4	259.727162935
grunt	3	262.24865532
chrome	5	264.770139858
climb	1	267.291622885
#####	4	269.813137004
#####	4	272.334646595
#####	4	274.856167656
#####	4	277.377617782
#####	4	279.899132505
#####	4	282.420582329
solve	5	284.942097957
#####	4	287.463604831
wipe	2	289.98508484
suck	3	292.506583866
snort	3	295.028069913
#####	4	297.549550224
#####	4	300.071048646
#####	4	302.592550389
#####	4	305.114045189
#####	4	307.635533349
#####	4	310.157007019
#####	4	312.678500612
chew	3	315.199998732
hiss	3	317.721499268
dirt	5	320.242982899
gasp	3	322.76447287
flirt	5	325.285963746
scoop	2	327.807466092
+	6	330.328953044
wade	1	332.850439694
blow	3	335.371989432
kiss	3	337.893447104
+	6	340.414931037
+	6	342.936406217
slink	1	345.457917921
#####	4	347.97940608
#####	4	350.500903597
#####	4	353.022407754
#####	4	355.543889877
+	6	358.065369282
#####	4	360.58687676
#####	4	363.108376994
gnaw	3	365.629893829
#####	4	368.151350898
bite	3	370.672837548
#####	4	373.194329933
#####	4	375.715829865
#####	4	378.237316515
dunk	2	380.758803769
hop	1	383.28030038
yawn	3	385.80180816
+	6	388.323292093
roar	3	390.844782667
burp	3	393.366260262
crawl	1	395.887762608
+	6	398.40925771
crown	5	400.930749492
+	6	403.45223584
#####	4	405.973731546
+	6	408.495224837
blame	3	411.016723259
#####	4	413.538206891
spare	5	416.059703502
#####	4	418.581201622
braid	2	421.102643296
star	5	423.624194845
cave	5	426.145681193
brown	5	428.667176295
#####	4	431.188663851
slide	1	433.710150803
#####	4	436.231554443
sprint	1	438.753138894
#####	4	441.27462977
prick	2	443.796117325
cope	5	446.317610918
#####	4	448.83909787
cube	5	451.360482494
#####	4	453.882089583
bird	5	456.403599476
hole	5	458.925082202
#####	4	461.446568852
+	6	463.968052786
#####	4	466.489436806
loop	5	469.011052045
pink	5	471.532554693
bowl	5	474.05403742
#####	4	476.575531012
seize	2	479.097022492
#####	4	481.618397155
hate	5	484.140008772
#####	4	486.661492403
munch	3	489.182987505
sigh	3	491.704476268
#####	4	494.225990387
fail	5	496.747386783
dare	5	499.269043377
+	6	501.790471165
